;Nom;Adresse;Telephone;Site_web;Description;Lieu_proche;Airport;Langue;Avantage;Etoiles
0;Mövenpick Hotel Casablanca;Rond Point Hassan II, Casablanca 20000 Maroc;tel:0522488000;https://www.tripadvisor.fr/Commerce?p=TABAIndependentHotels&src=0&geo=299161&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=255792957&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkQcYcYZTjrPa08kecCFRir2vXWlymusNiTc0gdB4czkecd6SC8db7EpgnQcGZ1Pglw&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=111ecdf1893a0cb2ef72795c68bbef38c&ba_uid=5c4f7868-a4bf-4f26-a574-bb0ca1091ec1;Le Movenpick Hotel Casablanca, qui bénéficie d'une situation centrale au cœur du quartier des affaires et à deux pas de l'ancienne médina, offre aux clients de ses 184 chambres confort et commodité dans un établissement au style contemporain. Des chambres spacieuses équipées d'un téléviseur écran plat au spa avec piscine en plein air, notre établissement possède toutes les installations modernes. L'hôtel dispose également de différents espaces de conférence et de réunion pouvant accueillir jusqu'à 400 personnes, tandis que nos trois restaurants proposent une cuisine internationale tout au long de la journée.;, Meson Asador 4 min, Khos 4 min, Oliveri 2 min, Sushi Gourmet Casablanca 5 min, The Escape Hunt Experience Casablanca 4 min, Le Light Pub 3 min, Bar les Invalides 6 min;", Anfa Airport5 km
Voir tous les vols, Mohamed V Airport24 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe;, Parking gratuit, Internet gratuit, Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Divertissements le soir, Discothèque/DJ, Chaînes de télévision pour enfants, Rideaux occultants, Climatisation, Bureau, Service de ménage, Minibar, TV par câble/satellite, Canapé-lit, Bidet, Vue sur la ville, Suite nuptiale, Chambres non-fumeurs, Suites, Chambres familiales;5,0 5 étoiles
1;Sofitel Casablanca Tour Blanche;Rue Sidi Belyout, Casablanca 20000 Maroc;null;null;"Découvrez pourquoi le Sofitel Casablanca Tour Blanche est l'hôtel préféré des voyageurs visitant Casablanca. Offrant un grand confort et un excellent rapport qualité-prix, il propose un cadre un de luxe et un large éventail de services conçus pour les voyageurs comme vous.
Pendant votre séjour au Sofitel Casablanca Tour Blanche, visitez Square of Mohammed V (0,9 km) et Mahkama du Pacha (1,1 km), les attractions les plus connues de Casablanca.";, Atelier Oriental 1 min, Brasserie La Tour 1 min, Restaurant La Bavaroise 6 min, Le Riad Restaurant 6 min, Le CasArt Bar 1 min, Ancienne Medina 5 min, Marche Central Casablanca 6 min, Cinema Rialto 5 min;", Anfa Airport6 km
Voir tous les vols, Mohamed V Airport26 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe et 1 autre;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Divertissements le soir, Discothèque/DJ, Séjour gratuit pour les enfants, Rideaux occultants, Chambres insonorisées, Climatisation, Salle de bain supplémentaire, Cafetière/théière, TV par câble/satellite, Lits extra longs, Douche à l'italienne, Vue sur l'océan, Vue sur la ville, Vue sur un monument, Chambres non-fumeurs, Suites, Chambres familiales, Chambres fumeurs disponibles;5,0 5 étoiles
2;Barceló Anfa Casablanca;44 Boulevard d Anfa, Casablanca 20000 Maroc;null;null;Situé au cœur de Casablanca, le poumon économique du Maroc, se trouve l’hôtel Barceló Anfa Casablanca*****. Avec un design Art Déco qui se reflète dans les couleurs, les formes géométriques ou les matériaux chauds, l’hôtel s’harmonise parfaitement avec l’ambiance cosmopolite de la région et offre un emplacement stratégique pour les voyages d’affaires.;, Churrascaria Marius Casablanca 5 min, Urbano 5 min, Blend Corner 6 min, Le Bistronome 4 min, Temple Beth-El 3 min, L'Eglise du Sacre-Coeur 6 min, Irish Pub 4 min, Le Diplomate 3 min;", Anfa Airport5 km
Voir tous les vols, Mohamed V Airport26 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe;, Service de voiturier, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Babysitting, Navette aéroport, Centre d'affaires avec accès Internet, Climatisation, Bureau, Service de ménage, Service en chambre, Minibar, Bouilloire électrique, Télévision à écran plat, Produits de toilette gratuits, Chambres non-fumeurs, Suites, Chambres familiales;5,0 5 étoiles
3;Four Seasons Hotel Casablanca;Boulevard De La Corniche Anfa Place Living Resort, Casablanca 20050 Maroc;tel:0529073700;https://www.tripadvisor.fr/Commerce?p=TABAIndependentHotels&src=0&geo=8782614&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=255793018&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkQcYcYZTjrPa08kecCFRir3Ke4ZTPnG-Eh7c-WJ1HPzE9VAXCJhlwY5XrwG6FqZT-g&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=143ebc343c3221967bae1e46f10be3663&ba_uid=106ef0c5-418b-44df-83d3-7898c49e74fd;null;, Relais de Paris 5 min, Bleu Restaurant, Four Seasons Hotel Casablanca 1 min, Coco Palm 3 min, Kasaï 2 min, The DoorZ Escape Game 2 min, Anfaplace Shopping Center 3 min, Al-Saoud Mosque 5 min, City Park 4 min;", Anfa Airport4 km
Voir tous les vols, Mohamed V Airport27 km
Voir tous les vols";Français, Arabe;, Parking public payant sur site, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Plage, Babysitting, Navette aéroport, Climatisation, Balcon privé, Service en chambre, Coffre-fort, Minibar, Télévision à écran plat, Vue sur l'océan, Chambres non-fumeurs, Suites, Chambres familiales, Chambres fumeurs disponibles;5,0 5 étoiles
4;Hyatt Regency Casablanca;Place des Nations Unies, Casablanca 20000 Maroc;null;null;Situé entre les façades art déco et l’ancienne médina, Hyatt Regency Casablanca vous convie à une expérience 2.0 à la fois raffinée et énergisante inspirée par la ville animée de Casablanca et l'hospitalité marocaine légendaire. Au Hyatt Regency Casablanca, profitez de la vue imprenable sur la ville, de la terrasse unique, de la brasserie française le café M, de live shows orientaux au Dar Beida, de cocktails déjantés au bar et de soirées dansantes animées par les meilleurs Djs au Black house !;, Atelier Oriental 7 min, Le Cuisto Traditionnel 6 min, Le Riad Restaurant 6 min, BM212 6 min, Ancienne Medina 3 min, Square of Mohammed V 7 min, Place des Nations Unies 2 min, Cinema Rialto 6 min;", Anfa Airport6 km
Voir tous les vols, Mohamed V Airport26 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe et 1 autre;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Squash, Discothèque/DJ, Chaises hautes disponibles, Rideaux occultants, Purificateur d'air, Climatisation, Bureau, Cafetière/théière, TV par câble/satellite, Lits extra longs, Bidet, Vue sur la ville, Suite nuptiale, Chambres non-fumeurs, Suites, Chambres familiales, Chambres fumeurs disponibles;5,0 5 étoiles
5;Radisson Blu Hotel, Casablanca City Center;2 Boulevard Mohamed Diouri, Casablanca 20300 Maroc;tel:0522080808;https://www.tripadvisor.fr/Commerce?p=TABAIndependentHotels&src=0&geo=19267015&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=255793057&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdyapJuj4bgVz5Nbf9CgHzftq-keDAIeV58W9oZVQwP0RQ&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=19ef21baabc11503c165bc9e27b7095f2&ba_uid=bdd447e7-3096-4199-965a-709aad9481c9;null;, Restaurant La Bavaroise 5 min, L'Etoile Centrale 6 min, Chez Michel Et Hafida 6 min, Resto-Grill Salaheddine 5 min, Mahkama Du Pacha 6 min, Marche Central Casablanca 5 min, Ville Art-Déco 6 min, Dar Al Ala 6 min;", Anfa Airport6 km
Voir tous les vols, Mohamed V Airport25 km
Voir tous les vols";Arabe;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Petit-déjeuner inclus, Activités pour les enfants (Enfants/Pour les familles), Navette aéroport, Centre d'affaires avec accès Internet, Climatisation, Service de ménage, Service en chambre, Coffre-fort, Minibar, Chambres non-fumeurs, Suites;5,0 5 étoiles
6;MELLIBER Appart Hotel;138 Boulevard Moulay Youssef, angle rue Tiznit angle rue Tiznit, Casablanca 20250 Maroc;null;null;Inspiré de sa proximité avec la Mosquée Hassan II et ses bibliothèques, Melliber Appart Hotel a été pensé comme un subtil mélange entre une architecture classique néocoloniale et une modernité urbanistique caractéristique de la nouvelle ville de Casablanca. Situé en bordure des palmiers de l’avenue Moulay Youssef, Melliber Appart Hotel est à proximité des principaux lieux de vie de Casablanca tels que la nouvelle Marina , la corniche, le centre-ville et les grands centres commerciaux.;, Le Melliber Café 1 min, Chez Reda 5 min, Branzino Restaurant 6 min, Le Gatsby Cafe & Restaurant 6 min, Mosquée Hassan II 5 min, Sea Glass Art Morocco 6 min, Tout Va Bien 7 min;", Anfa Airport6 km
Voir tous les vols, Mohamed V Airport27 km
Voir tous les vols";Français, Anglais, Arabe;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Centre de remise en forme/Salle de sport, Bar/lounge, Centre d'affaires avec accès Internet, Salle de réception, Salon, Sécurité 24 heures sur 24, Chambres insonorisées, Climatisation, Balcon privé, Service en chambre, Coffre-fort, Kitchenette, Micro-ondes, Télévision à écran plat, Suite nuptiale, Chambres non-fumeurs, Suites, Chambres familiales;4,0 5 étoiles
7;Kenzi Tower Hotel;Blvd Zerktouni, Twin Center, Casablanca 20100 Maroc;null;null;"Découvrez pourquoi le Kenzi Tower Hotel est le complexe touristique préféré des voyageurs visitant Casablanca. Offrant un grand confort et un excellent rapport qualité-prix, il propose un cadre un de luxe et un large éventail de services conçus pour les voyageurs comme vous.
Grâce à son emplacement tout près des monuments populaires, comme Synagogue Beth-El (1,1 km) et Square of Mohammed V (1,3 km), les clients de l'Hotel Kenzi Tower pourront facilement profiter des attractions les plus célèbres de Casablanca.";, NKOA 4 min, Blend Gourmet Burger 3 min, Le Bistrot Chic 6 min, ILOLI 6 min, Villa des Arts de Casablanca 4 min, Sky 28 1 min, Twin Center 1 min, L'appart 19 4 min;", Anfa Airport4 km
Voir tous les vols, Mohamed V Airport25 km
Voir tous les vols";Français, Arabe;, Parking, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Animaux domestiques autorisés (Chien/Animaux de compagnie), Navette aéroport, Centre d'affaires avec accès Internet, Climatisation, Service de ménage, Service en chambre, Coffre-fort, Minibar, Télévision à écran plat, Chambres non-fumeurs, Suites, Chambres familiales;5,0 5 étoiles
8;Le Casablanca Hotel;19 Boulevard Moulay Rachid, Casablanca 20660 Maroc;null;null;ne ingénieuse conciliation entre le glamour d’hier et le confort d’aujourd’hui. Situé dans l’un des quartiers résidentiels verdoyants les plus prisés de la ville de Casablanca, à 5 minutes du centre des affaires, de la corniche et et du golf royal, Le Casablanca Hotel se veut l’essence même de cette destination. Avec une architecture épurée qui rappelle la belle époque Art Déco et un jardin exceptionnel arboré en plein centre ville, il affirme son empreinte d’Urbain Resort à l'élégance feutrée. Le Casablanca Hotel est pensé comme une résidence particulière élégante et cosy. Le charme du lieu est décliné dans un décor subtil où la multiplicité des formes se marie harmonieusement avec l’espace, la lumière et le mobilier. Le sol, les marches d’escaliers sont en damiers de marbre noir et blanc, les imposants lustres de cristal Art Déco, les hauts plafonds, les dentelles de stuc faits mains, les salons en velours rouge et noir, le mobilier en marqueterie, des miroirs géants biseautés réalisés haute couture par des maîtres artisans plongent les invités dans le temps de la belle époque. Depuis les chambres et suites, deux magnifiques vues sont à admirer tout au long de votre séjour : une sur le Casablanca et l’autre sur l’univers jardin et piscine. Dans tous les univers, Le Casablanca Hotel étale sa propre collection d'art dont les œuvres puisent leur inspiration de différentes cultures. Inspirées de thèmes variés, notre Suites Collection vient enrichir notre offre de chambres, version originale du style Art Déco. Notre literie haut de gamme composée d’un matelas hypoallergénique, d’une sélection d’oreillers moelleux et de draps en coton, font la promesse d’un sommeil paisible et profond. L’élégance et la noblesse des matières assorties au chatoiement des couleurs offrent un espace de vie accueillant et chaleureux. NOTRE LOBBY, UNE NOUVELLE MANIERE DE CONCEVOIR « Le Chez-Soi » Le lobby, à lui seul, constitue un univers insolite qui vous fait revivre l'ambiance de la belle époque Art Déco avec ses grandes hauteurs, ses colonnes en marbre et miroirs, ses lustres géants. Il vous conduira avec surprise à la magnifique terrasse telle que les jardins d’autrefois, offrant une magnifique vue sur la fontaine en marbre de carrare et la piscine. L’instant d’un rêve d’aujourd’hui dans l’ambiance d’hier. Plus qu’une réception, notre lobby est une place to be, un lieu de vie judicieusement conçu pour apporter à nos hôtes une sensation immédiate de chaleur et de bien être, la sensation d’être chez soi. Une équipe dédiée vous accueille dans une atmosphère chaleureuse aux notes de notre identité olfactive.;, La Pergola 1 min, Restaurant El Gousto 6 min, L'Etoile du Plazza 5 min, Villa Zevaco 4 min, Stade Mohammed V Arènes & Stades, Magic Land Jadida Salles de jeux et de divertissement;", Anfa Airport4 km
Voir tous les vols, Mohamed V Airport25 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe;, Parking public gratuit à proximité, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Navette aéroport, Centre d'affaires avec accès Internet, Salles de conférence, Chambre hypoallergénique, Peignoirs, Climatisation, Bureau, Cafetière/théière, TV par câble/satellite, Lits extra longs, Bidet, Vue sur la ville, Vue sur la piscine, Suite nuptiale, Chambres non-fumeurs, Suites;5,0 5 étoiles
9;ONOMO Hotel Casablanca Airport;H6, Nouaceur.ZF.6 Lotissement du Parc Industriel Midparc 27 000 Nouaceur, Casablanca 27000 Maroc;null;null;null;, Fin de Faim 12 min, Starbucks 1.9 km, Starbucks , L'helice 18 min, Morocco Visitors 9.9 km, Foret De Bouskoura 18 min;", Anfa Airport23 km
Voir tous les vols, Mohamed V Airport2 km
Voir tous les vols";Français, Arabe;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Wi-Fi, Bar/lounge, Restaurant, Navettes aéroport gratuites, Centre d'affaires avec accès Internet, Salles de réunion, Climatisation, Téléphone, Penderie, Chambres non-fumeurs;3,0 5 étoiles
